"Sl. No","App ID","Zip File","App Name","Product","App Features","Expected Folders","Prompt","Functional Requirements","Success Criteria","Expected Platform Features","Complexity","Reference Links","Picked By"
"1","493","app_493_v711945.zip","Hubspot Frontend app with all pod support","freshsales / freshworks_crm","## Hubspot Frontend app with all pod support Based on the region value from app args,this app will route the request to pod based IPaaS Url ### Folder structure explained . ├── README.md This file ├── server │ ├── server.js JS to encrypt the installation data that has to be passed to IPaaS. Also to determine the podBased URL ├── config │ ├── iparams.html Contains the parameters that will be collected during installation or initialization.Also the rendering logic of IPaaS's UI in the marketplace…

Goals
- Deliver the packaged workflow reliably in freshsales / freshworks_crm.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","config, server","Build a Freshworks Platform app for freshsales / freshworks_crm (Hubspot Frontend app with all pod support). Package reference: app_493_v711945.zip. Match folder layout: config, server. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- When events onAppUninstall fire (product freshsales), run the declared server handlers (Must)
- When events onAppUninstall fire (product freshworks_crm), run the declared server handlers (Must)
- Expose SMI functions generateEncryptedParams, getAppUrl where declared (product freshsales) (Must)
- Expose SMI functions generateEncryptedParams, getAppUrl where declared (product freshworks_crm) (Must)
- Collect and validate installation parameters via iparams (Must)
- Log serverless and request failures with enough context to debug (Should)","- Configured serverless / scheduled handlers run when triggers fire without unhandled exceptions
- SMI function invocations complete within platform timeouts and return structured errors on failure
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","Serverless events (freshsales): onAppUninstall
SMI functions (freshsales): generateEncryptedParams, getAppUrl
Serverless events (freshworks_crm): onAppUninstall
SMI functions (freshworks_crm): generateEncryptedParams, getAppUrl
iparams (installation / configuration parameters)","Medium","",""
"2","1033","app_1033_v711914.zip","Mailchimp Frontend app with all pod support","freshsales / freshworks_crm","## Mailchimp Frontend app with all pod support Based on the region value from app args,this app will route the request to pod based IPaaS Url ### Folder structure explained . ├── README.md This file ├── server │ ├── server.js JS to encrypt the installation data that has to be passed to IPaaS. Also to determine the podBased URL ├── config │ ├── iparams.html Contains the parameters that will be collected during installation or initialization.Also the rendering logic of IPaaS's UI in the marketplac…

Goals
- Deliver the packaged workflow reliably in freshsales / freshworks_crm.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","config, server","Build a Freshworks Platform app for freshsales / freshworks_crm (Mailchimp Frontend app with all pod support). Package reference: app_1033_v711914.zip. Match folder layout: config, server. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- When events onAppUninstall fire (product freshsales), run the declared server handlers (Must)
- When events onAppUninstall fire (product freshworks_crm), run the declared server handlers (Must)
- Expose SMI functions generateEncryptedParams, getAppUrl where declared (product freshsales) (Must)
- Expose SMI functions generateEncryptedParams, getAppUrl where declared (product freshworks_crm) (Must)
- Collect and validate installation parameters via iparams (Must)
- Log serverless and request failures with enough context to debug (Should)","- Configured serverless / scheduled handlers run when triggers fire without unhandled exceptions
- SMI function invocations complete within platform timeouts and return structured errors on failure
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","Serverless events (freshsales): onAppUninstall
SMI functions (freshsales): generateEncryptedParams, getAppUrl
Serverless events (freshworks_crm): onAppUninstall
SMI functions (freshworks_crm): generateEncryptedParams, getAppUrl
iparams (installation / configuration parameters)","Medium","",""
"3","1844","app_1844_v618481.zip","Hubspot Latest App 2020 Dec 11","Modules: common, support_ticket","## Hubspot Latest App 2020 Dec 11 App timeline templates changed to display correct date.

Goals
- Deliver the packaged workflow reliably in Modules: common, support_ticket.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","app, config, server","Build a Freshworks Platform app for Modules: common, support_ticket (Hubspot Latest App 2020 Dec 11). Package reference: app_1844_v618481.zip. Match folder layout: app, config, server. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Render UI in locations ticket_sidebar (module support_ticket) (Must)
- When events onConversationCreate, onTicketCreate, onTicketUpdate fire (module support_ticket), run the declared server handlers (Must)
- Handle scheduled events onScheduledEvent for module common (Must)
- Use request templates FDAgents, FDCSAT, FDContactById, FDConversations, FDSurveys, FDTicket, HSAccount, HSContactProfileEmail, HSCreateContact, HSCreateDeal, HSDealById, HSDealForContact… for outbound calls (module common) (Must)
- Collect and validate installation parameters via iparams (Must)
- Log serverless and request failures with enough context to debug (Should)","- Declared app surfaces load in-product without console errors for Hubspot Latest App 2020 Dec 11
- Configured serverless / scheduled handlers run when triggers fire without unhandled exceptions
- Request templates return expected HTTP outcomes; API/auth errors are surfaced clearly
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","App locations (module support_ticket): ticket_sidebar
Serverless events (module support_ticket): onConversationCreate, onTicketCreate, onTicketUpdate
Scheduled events (module common): onScheduledEvent
Request templates (module common): FDAgents, FDCSAT, FDContactById, FDConversations, FDSurveys, FDTicket, HSAccount, HSContactProfileEmail, HSCreateContact, HSCreateDeal, HSDealById, HSDealForContact, HSList, HSOwner, HSOwners, HSPipeLineDeals, HSTimeLine
Crayons UI (components referenced in app assets)
Data methods (client.data / interface usage in frontend)
iparams (installation / configuration parameters)","Medium","",""
"4","1915","app_1915_v116852.zip","Freshdesk App Project","freshdesk","## Freshdesk App Project Congratulations on creating your App Project! Feel free to replace this text with your project description. ### Project folder structure explained . ├── README.md This file. ├── config Installation parameter configs. │ ├── iparams.json Installation parameter config in English language. │ └── iparam_test_data.json Installation parameter data for local testing. └── manifest.json Project manifest. └── server Business logic for remote request and event handlers. ├── lib │ └─…

Goals
- Deliver the packaged workflow reliably in freshdesk.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","config, server","Build a Freshworks Platform app for freshdesk (Freshdesk App Project). Package reference: app_1915_v116852.zip. Match folder layout: config, server. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Collect and validate installation parameters via iparams (Must)
- Log serverless and request failures with enough context to debug (Should)","- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","iparams (installation / configuration parameters)","Low","",""
"5","1996","app_1996_v162374.zip","App 1996","freshdesk","App 1996 extends freshdesk with behaviors declared in manifest (see Expected Platform Features).

Goals
- Deliver the packaged workflow reliably in freshdesk.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","app, config, server","Build a Freshworks Platform app for freshdesk (App 1996). Package reference: app_1996_v162374.zip. Match folder layout: app, config, server. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Render UI in locations ticket_background, ticket_sidebar (product freshdesk) (Must)
- When events onConversationCreate, onTicketCreate fire (product freshdesk), run the declared server handlers (Must)
- Collect and validate installation parameters via iparams (Must)
- Only call domains allowed by whitelisted-domains / request templates (Must)
- Log serverless and request failures with enough context to debug (Should)","- Declared app surfaces load in-product without console errors for App 1996
- Configured serverless / scheduled handlers run when triggers fire without unhandled exceptions
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","Whitelisted domains (external API / product hosts)
App locations (freshdesk): ticket_background, ticket_sidebar
Serverless events (freshdesk): onConversationCreate, onTicketCreate
Crayons UI (components referenced in app assets)
Data methods (client.data / interface usage in frontend)
iparams (installation / configuration parameters)","Low","",""
"6","2627","app_2627_v78560.zip","App 2627","freshdesk","App 2627 extends freshdesk with behaviors declared in manifest (see Expected Platform Features).

Goals
- Deliver the packaged workflow reliably in freshdesk.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","app, config","Build a Freshworks Platform app for freshdesk (App 2627). Package reference: app_2627_v78560.zip. Match folder layout: app, config. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Render UI in locations ticket_background, ticket_conversation_editor (product freshdesk) (Must)
- Collect and validate installation parameters via iparams (Must)
- Only call domains allowed by whitelisted-domains / request templates (Must)
- Log serverless and request failures with enough context to debug (Should)","- Declared app surfaces load in-product without console errors for App 2627
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","Whitelisted domains (external API / product hosts)
App locations (freshdesk): ticket_background, ticket_conversation_editor
Crayons UI (components referenced in app assets)
Data methods (client.data / interface usage in frontend)
iparams (installation / configuration parameters)","Low","",""
"7","2634","app_2634_v7381.zip","App 2634","freshdesk","App 2634 extends freshdesk with behaviors declared in manifest (see Expected Platform Features).

Goals
- Deliver the packaged workflow reliably in freshdesk.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","app, config","Build a Freshworks Platform app for freshdesk (App 2634). Package reference: app_2634_v7381.zip. Match folder layout: app, config. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Render UI in locations ticket_background (product freshdesk) (Must)
- Collect and validate installation parameters via iparams (Must)
- Only call domains allowed by whitelisted-domains / request templates (Must)
- Log serverless and request failures with enough context to debug (Should)","- Declared app surfaces load in-product without console errors for App 2634
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","Whitelisted domains (external API / product hosts)
App locations (freshdesk): ticket_background
Data methods (client.data / interface usage in frontend)
iparams (installation / configuration parameters)","Low","",""
"8","3105","app_3105_v627396.zip","FD-Custom-3189-AutoTimer-SDK-Backend","freshdesk","# FD-Custom-3189-AutoTimer-SDK-Backend ## Getting started To make it easy for you to get started with GitLab, here's a list of recommended next steps. Already a pro? Just edit this README.md and make it your own. Want to make it easy? [Use the template at the bottom](#editing-this-readme)! ## Add your files - [ ] [Create](https://docs.gitlab.com/ee/user/project/repository/web_editor.html#create-a-file) or [upload](https://docs.gitlab.com/ee/user/project/repository/web_editor.html#upload-a-file)…

Goals
- Deliver the packaged workflow reliably in freshdesk.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","app, config, server","Build a Freshworks Platform app for freshdesk (FD-Custom-3189-AutoTimer-SDK-Backend). Package reference: app_3105_v627396.zip. Match folder layout: app, config, server. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Render UI in locations ticket_background (product freshdesk) (Must)
- When events onAppInstall, onExternalEvent fire (product freshdesk), run the declared server handlers (Must)
- Use request templates ticketFields, updateTimer, viewTimer for outbound calls (product freshdesk) (Must)
- Expose SMI functions stopTimer where declared (product freshdesk) (Must)
- Collect and validate installation parameters via iparams (Must)
- Log serverless and request failures with enough context to debug (Should)","- Declared app surfaces load in-product without console errors for FD-Custom-3189-AutoTimer-SDK-Backend
- Configured serverless / scheduled handlers run when triggers fire without unhandled exceptions
- Request templates return expected HTTP outcomes; API/auth errors are surfaced clearly
- SMI function invocations complete within platform timeouts and return structured errors on failure
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","App locations (freshdesk): ticket_background
Serverless events (freshdesk): onAppInstall, onExternalEvent
Request templates (freshdesk): ticketFields, updateTimer, viewTimer
SMI functions (freshdesk): stopTimer
Data methods (client.data / interface usage in frontend)
iparams (installation / configuration parameters)","Low","",""
"9","3385","app_3385_v145212.zip","App 3385","freshdesk","App 3385 extends freshdesk with behaviors declared in manifest (see Expected Platform Features).

Goals
- Deliver the packaged workflow reliably in freshdesk.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","app, config","Build a Freshworks Platform app for freshdesk (App 3385). Package reference: app_3385_v145212.zip. Match folder layout: app, config. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- Render UI in locations ticket_sidebar (product freshdesk) (Must)
- Collect and validate installation parameters via iparams (Must)
- Only call domains allowed by whitelisted-domains / request templates (Must)
- Log serverless and request failures with enough context to debug (Should)","- Declared app surfaces load in-product without console errors for App 3385
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","Whitelisted domains (external API / product hosts)
App locations (freshdesk): ticket_sidebar
Crayons UI (components referenced in app assets)
Data methods (client.data / interface usage in frontend)
iparams (installation / configuration parameters)","Medium","",""
"10","3832","app_3832_v566126.zip","Parent Child Synchronization","Modules: common, support_ticket","## Parent Child Synchronization Synchronize the Notes and Replies between parent and child ticket(s) and vice versa. ### Description Missing conversations when dealing with parent and child tickets? Worry not! This application synchronizes all notes and replies from a parent to child ticket and vice versa as a private note.

Goals
- Deliver the packaged workflow reliably in Modules: common, support_ticket.
- Keep configuration and side effects observable and safe.
- Meet the functional requirements without blocking validation issues.

User Stories
- As an admin, I want to install and configure the app with clear parameters.
- As an agent, I want the app to behave correctly in its declared UI or event surfaces.
- As an operator, I want failures to surface in logs or UI without silent drops.","config, server","Build a Freshworks Platform app for Modules: common, support_ticket (Parent Child Synchronization). Package reference: app_3832_v566126.zip. Match folder layout: config, server. Implement Functional Requirements and Success Criteria verbatim intent; materialize Expected Platform Features using manifest-safe patterns.","- When events onConversationCreate, onTicketUpdate fire (module support_ticket), run the declared server handlers (Must)
- Use request templates getAssociatedTickets, getTicketDetails, getTickets, updateConversation, updateTicket for outbound calls (module common) (Must)
- Collect and validate installation parameters via iparams (Must)
- Log serverless and request failures with enough context to debug (Should)","- Configured serverless / scheduled handlers run when triggers fire without unhandled exceptions
- Request templates return expected HTTP outcomes; API/auth errors are surfaced clearly
- Installation parameters save correctly and are used on subsequent runs
- App passes fdk validate for the declared platform-version
- Invalid configuration or upstream failures do not leave the app in a silent broken state","Request templates (module common): getAssociatedTickets, getTicketDetails, getTickets, updateConversation, updateTicket
Serverless events (module support_ticket): onConversationCreate, onTicketUpdate
iparams (installation / configuration parameters)","Low","",""
